freq,scheme,benefit_type,target_group,unit,country,year,expenditure
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EE,2018,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EE,2019,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EE,2020,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EE,2021,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EE,2022,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EL,2015,80.06
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EL,2016,77.42
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EL,2017,150.89
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EL,2018,187.68
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EL,2019,132.05
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EL,2020,114.17
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EL,2021,134.6
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EL,2022,149.76
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),ES,2015,15.17
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),ES,2016,15.34
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),ES,2017,15.59
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),ES,2018,15.64
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),ES,2019,16.72
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),ES,2020,19.16
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),ES,2021,15.63
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),ES,2022,13.52
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FI,2015,7.88
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FI,2016,5.11
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FI,2017,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FI,2018,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FI,2019,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FI,2020,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FI,2021,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FI,2022,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FR,2015,154.65
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FR,2016,156.95
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FR,2017,155.35
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FR,2018,154.11
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FR,2019,149.08
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FR,2020,149.1
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FR,2021,142.44
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),FR,2022,137.69
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),HR,2015,49.9
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),HR,2016,47.44
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),HR,2017,42.81
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),HR,2018,40.94
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),HR,2019,43.24
